emissionIntensityScope1,emissionIntensityScope2,emissionIntensityScope3,totalEmissionIntensity
2.6249386674767837e-05,0.001186448954948095,0.0034240153544733577,0.00463671369609622
0.00017657983563968232,0.0004932194841825808,0.0022181090208040054,0.0028879083406262683
0.00020914065834923536,0.0010110785840650386,0.0028029795033332697,0.004023198745747544
0.00031402417985573804,0.0006576242528547414,0.0015745607810707172,0.0025462092137811965
0.0008944749815237329,0.0008706030786669744,0.0018155839751284484,0.0035806620353191557
0.0013826074779466236,0.0012175667638178267,0.0022724967802073667,0.004872671021971817
0.0006389367130995152,0.0015366893560744338,0.002971134074347881,0.00514676014352183
6.956439037047004e-05,0.0014371980364974528,0.0029021552890698826,0.004408917715937806
0.0,0.0008101389855100788,0.001356375551374456,0.0021665145368845347
5.5169364313123444e-05,0.0020626827501128223,0.003367847545651699,0.005485699660077645
0.003327951488051729,0.0027537270405481075,0.0037539200160149992,0.009835598544614835
0.0008380746045931187,0.0018451752634772176,0.0034922102659139314,0.006175460133984268
0.001135523972816324,0.0028002221643611265,0.004394268709073482,0.008330014846250932
0.13430404908123028,0.00221210334426623,0.0021571809067203185,0.13867333333221682
7.667283745025565e-05,0.0011136469860950969,0.001942979070687018,0.0031332988942323705
0.00019870619485965455,0.0019183514174922142,0.002350606397443745,0.004467664009795614
0.0008682268210329811,0.001685371827436627,0.002654080109886012,0.00520767875835562
2.3124357088664784e-05,0.0019235075444541416,0.0032033944024075214,0.005150026303950328
0.002723112715093216,0.0009655987060463763,0.00174042651222623,0.005429137933365823
5.725381649486253e-05,0.0012678911287447193,0.002922290101197944,0.004247435046437526
1.7944007763458533e-05,0.0005228756455342129,0.0018879831366468165,0.0024288027899444877
0.009457367841959005,0.002111470535498217,0.003822513925595636,0.01539135230305286
1.4146201482880367e-05,0.0014226696459150028,0.002341946653013442,0.0037787625004113254
5.4146106412053966e-05,0.001483884019386692,0.002746094997505367,0.004284125123304113
0.004050200559055858,0.0011134268963446231,0.0016964450087210547,0.006860072464121536
0.00028422358717529217,0.000729648466241359,0.0016608390275411663,0.0026747110809578175
0.00025524273844765023,0.0009017866509362633,0.002117330299858426,0.0032743596892423395
0.00016442160092962354,0.0011555595492888468,0.0025937395381883427,0.003913720688406813
0.0032372308939571087,0.00094389470466296,0.002054534734796741,0.006235660333416809
