emissionScope1,emissionScope2,emissionScope3,totalEmission,Sector_CodeName,Aggregated sectors,Sector_Number
131303.58393955228,2816.543592097822,7173.998404536134,141294.12593618623,101/Varnish and lacquer ,Chemical industries ,101
303355.82300022576,210248.03883986463,394367.0886414996,907970.95048159,102/Soap and cleaning agents ,Chemical industries ,102
367777.25534252543,312788.63009827526,532261.8178207091,1212827.7032615098,103/Cosmetics,Chemical industries ,103
660591.7430168162,249606.8298027357,281069.4948454739,1191268.0676650258,104/Other chemicals,Chemical industries ,104
2722896.5538797714,439650.5341794791,443218.56746326806,3605765.6555225183,105/Pharmaceuticals,Chemical industries ,105
898826.3084436482,89441.06066539302,83920.01967168727,1072187.3887807284,106/Traditional medicine,Others,106
544230.3838277933,218013.41918317485,275480.9909348382,1037724.7939458065,107/Tire ,Others,107
312580.0261723487,62779.52182528273,312696.76404457266,688056.3120422041,108/Crumb and smoked rubber,Others,108
1188899.353422778,77580.74769469615,93147.17633640813,1359627.2774538822,109/Other goods from rubber,Others,109
2044305.5430254303,1112607.194899422,1542508.281313058,4699421.01923791,110/Plastics items ,Others,110
1309306.5898033986,182848.6648689392,253725.10256776377,1745880.3572401016,111/Glass and glassware ,Others,111
3854059.7103229095,418404.7173086424,744119.8220326733,5016584.249664225,"112/Clay, ceramics and porcelain products","Building, road and constructions",112
10869306.904387029,707471.0435613372,1148369.9597454537,12725147.907693818,113/Cement ,"Building, road and constructions",113
7064266.391108375,1266110.5228301475,929221.811202092,9259598.725140614,114/Iron and steels,Metal and heavy industries ,114
483505.6005484676,1540870.0437034778,768607.9559401041,2792983.600192049,115/Non-ferrous base metals,Metal and heavy industries ,115
1770127.7129992214,391162.7725566089,224080.3672596328,2385370.852815463,116/Metal casting products,Metal and heavy industries ,116
2383052.964738682,1307023.9885374366,941425.3729881812,4631502.326264299,117/Metal building materials ,Metal and heavy industries ,117
821684.3071547064,90252.76163932096,81511.812555413,993448.8813494404,"118/Weapons and ammunition, metallurgy and metalworking services",Metal and heavy industries ,118
1332876.5835977704,379121.4847601628,394514.3879867573,2106512.45634469,"119/Metal kitchen, carpentry, household and office furniture ",Metal and heavy industries ,119
2118808.4217970846,1582657.4862907028,1382685.2641580475,5084151.172245835,120/Other metal products,Metal and heavy industries ,120
165224.6646665261,880139.3084443231,1434199.0705074857,2479563.043618335,"121/Electronics, communication and their equipments",Electronics ,121
1273410.1610700595,504240.4301694469,562213.2399642342,2339863.831203741,"122/Measuring instruments, photography, optics and clocks",Others,122
2411870.2107044104,510413.75118562346,338204.0704393517,3260488.0323293856,123/Generators and electric motors,Electronics ,123
611667.2258306196,551946.1722712095,679696.098561265,1843309.496663094,124/Electrical machines and equipment ,Electronics ,124
2095850.779709172,360755.53360880783,542746.0912147281,2999352.404532708,125/Battery and accumulator,Electronics ,125
1314893.8566285158,434608.8180644207,672321.269026641,2421823.943719577,126/Other electrical equipments,Electronics ,126
1866965.3216544725,551056.1216457506,553321.8511425173,2971343.2944427403,127/Electrical appliance for household,Electronics ,127
835992.610258395,822952.8552006476,792322.5464840145,2451268.011943057,128/Starting machine,Others,128
2232921.5257382444,309633.6518038988,369971.21260298137,2912526.3901451244,"129/Machinery for office and accounting purposes, and parts and equipment thereof",Others,129
657096.023245405,2231726.484458623,2925075.317079185,5813897.824783213,130/Other machines and equipments,Others,130
87108.62937171334,1874583.0425372515,2647907.1166512743,4609598.788560239,131/Motor vehicles (except motorcycles),Electronics ,131
350024.5068347635,304064.6790730009,306298.1873707136,960387.373278478,132/Ships and their repair services,Services ,132
844472.9212036034,141245.01040158237,66306.46915219876,1052024.4007573845,133/Trains and their repair services,Services ,133
331170.65182403463,108286.1467623752,74077.77988011867,513534.5784665285,134/Aircrafts and their repair services ,Services ,134
853535.6063499803,387354.8194140568,305055.4637998454,1545945.8895638827,135/Other transportations,Transportation,135
356771.3415629552,1127903.0803671796,1317663.12555893,2802337.5474890647,136/Motorcycles ,Transportation,136
477272.0324235054,1056363.297278324,767092.5764478587,2300727.906149688,137/Non-metal home and office furnitures,Others,137
760327.3300591051,219830.32625538344,906432.4551721646,1886590.111486653,138/Jewelry,Others,138
1189622.848159046,162104.71697594188,137584.79493944626,1489312.3600744342,139/Musical instruments ,Others,139
602733.8293495468,35255.80529165508,44696.0708445569,682685.7054857588,140/Sports equipment ,Others,140
2057368.3623297731,103366.67539212122,121056.78561942978,2281791.8233413245,141/Toys and games ,Others,141
3726855.710367543,140153.7263704168,164714.96549737826,4031724.4022353385,142/Medical equipments,Others,142
396307.0105731434,200883.04338141676,313457.59263686265,910647.6465914228,143/Other processing industry products,Others,143
1744248.4455345524,133951.8552479646,224432.4841568009,2102632.784939318,"144/Maintenance and repair services for manufactured metal products, machinery and equipment",Services ,144
42566583.78477675,17088221.18085839,21070030.17354195,80724835.13917708,145/Electricity,Energy,145
24428.78107168792,54082.85691705607,101844.31590991453,180355.9538986585,"146/Products of natural and artificial gas, supply of steam/hot water, cold air and ice products",Energy,146
855374.2010625364,106144.3977341198,174074.40145406208,1135593.0002507183,147/Water supply,Others,147
2973555.8505558823,239571.4133381057,180682.62354434145,3393809.8874383294,148/Waste and recycling management ,Others,148
577979.5330042874,17319132.287386924,24097251.9038384,41994363.72422961,149/Residential and non-residential buildings ,"Building, road and constructions",149
525575.8985993882,2572617.315801181,4300614.282603433,7398807.497004002,"150/Electrical, gas, drinking water and communication buildings and installations","Building, road and constructions",150
215381.6856499752,207442.2941294754,334204.7825399856,757028.7623194362,151/Agricultural infrastructure,"Building, road and constructions",151
517360.43140549713,2217546.842279583,3586885.6281159376,6321792.901801018,"152/Road, bridge and harbor","Building, road and constructions",152
642547.623516677,5733431.26100558,8252251.754355065,14628230.63887732,153/Other buildings ,"Building, road and constructions",153
1177412.1563741078,668851.5341820609,982383.844798611,2828647.53535478,154/Cars and motorcycles trade ,Others,154
1373319.4494522242,857020.4337012983,967800.3799720109,3198140.263125533,155/Car and motorcycle repair and maintenance ,Services ,155
550260.8645541939,4560205.440222336,7936483.166942301,13046949.471718833,156/Trade other than cars and motorcycles ,Others,156
4411129.978085384,169787.4310089308,133706.4323145207,4714623.841408836,157/Rail transport services ,Services ,157
706588.1841282827,2511486.4263464543,3677769.266214004,6895843.876688741,158/Land transportation services other than rail transport ,Transportation,158
507907.21566235344,815663.4783999368,885742.1350237541,2209312.8290860443,159/Sea freight services ,Transportation,159
1372876.1104122456,206726.20839866865,239919.18813205627,1819521.5069429704,"160/River, lake and ferry transport services ",Transportation,160
992543.435752173,3520288.972059799,3735107.1339536784,8247939.54176565,161/Air freight services ,Transportation,161
3576138.191805628,1354299.870074758,1447327.595192233,6377765.65707262,162/Transportation support services ,Services ,162
4559823.527849289,314289.6825046991,424005.09157225024,5298118.3019262375,163/Postal and courier services ,Services ,163
1440547.8061551112,315226.3030284478,464230.86335272086,2220004.97253628,164/Accommodation services,Services ,164
182737.8582215093,1322921.8232100182,2447610.920399073,3953270.6018306008,165/Food and drink services,Services ,165
1903910.404056944,471457.551970322,610412.4159530308,2985780.3719802964,166/Publication,Others,166
2846325.571963193,1285658.7075834535,1262857.5838625897,5394841.863409236,"167/Broadcasting and programming services, film and sound recording ",Services ,167
2543160.178848824,1810343.6365412637,2301368.176749765,6654871.992139853,168/Telecommunication services ,Services ,168
7572264.449205603,1434538.8506428052,1251967.575027369,10258770.874875778,169/Computer and information technology consulting services,Services ,169
266765.74051923794,971663.1257137186,1607531.619979642,2845960.4862125986,170/Banking financial services ,Services ,170
408602.8184551785,377812.04254912224,439007.2149656901,1225422.0759699908,171/Insurance services ,Services ,171
133149.4778470199,3544.6384439038325,5051.622588303115,141745.73887922685,172/Pension services ,Services ,172
752683.3986260685,482033.7179339638,696547.1519931157,1931264.268553148,173/Other financial institution services ,Services ,173
487180.4443045824,1351393.7053937,3297649.4728610646,5136223.622559347,174/Real estate services,Services ,174
361194.1377862902,429749.5458500781,355014.1732331356,1145957.856869504,"175/Professional, scientific and technical services ",Services ,175
518668.3645336671,4418305.001715174,3747410.2548165126,8684383.621065354,176/Rental and business support services ,Services ,176
1632059.701279668,2812628.13920165,5303214.68684021,9747902.527321529,177/General government services ,Services ,177
647946.7751284281,982894.0353704516,1531990.8025820423,3162831.613080922,178/Government education services ,Services ,178
1138832.0765554695,680171.5536082387,684523.5798844928,2503527.210048201,179/Government health services ,Services ,179
2512436.6042837645,14254.644771815972,23635.886701829266,2550327.135757409,180/Other government services ,Services ,180
1653940.3872844302,1295669.0128175125,1896813.739393708,4846423.13949565,181/Private education services ,Services ,181
2479407.845079096,2614672.664749807,1438984.5199408743,6533065.029769777,182/Health services and private social activities ,Services ,182
3034292.8855953934,887776.144397545,737853.6503716265,4659922.680364565,"183/Arts, entertainment and recreation services ",Services ,183
2225557.9874607767,181816.50358075817,216917.7271753764,2624292.2182169114,184/Repair of other household and personal items ,Others,184
1825114.1670229204,1115335.706846168,1421797.399458998,4362247.273328086,185/Other services ,Services ,185
